Run Number,Problem Rate,Replan,Runtime (s),Had Failure,Successful Termination
121,50,True,2.57,True,True
122,50,True,2.52,True,True
123,50,True,5.28,True,True
124,50,True,2.47,True,True
125,50,True,2.52,True,True
126,50,True,2.57,True,True
127,50,True,2.42,False,True
128,50,True,2.47,False,True
129,50,True,2.47,True,True
130,50,True,2.52,False,True
131,50,True,2.52,True,True
132,50,True,2.52,True,True
133,50,True,2.47,False,True
134,50,True,2.52,False,True
135,50,True,2.52,False,True
136,50,True,2.47,True,True
137,50,True,2.47,True,True
138,50,True,2.47,False,True
139,50,True,2.47,False,True
140,50,True,2.47,False,True
141,50,True,4.48,True,True
142,50,True,2.57,True,True
143,50,True,2.47,True,True
144,50,True,2.47,True,True
145,50,True,2.52,True,True
146,50,True,2.52,True,True
147,50,True,2.57,True,True
148,50,True,4.52,True,True
149,50,True,2.53,True,True
150,50,True,2.47,True,True
