Run Number,Problem Rate,Replan,Runtime (s),Had Failure,Successful Termination
61,25,True,2.52,True,True
62,25,True,2.57,False,True
63,25,True,4.19,False,True
64,25,True,2.52,False,True
65,25,True,2.47,True,True
66,25,True,2.47,False,True
67,25,True,2.42,False,True
68,25,True,2.42,False,True
69,25,True,2.47,False,True
70,25,True,4.32,True,True
71,25,True,5.23,False,True
72,25,True,2.47,False,True
73,25,True,2.52,True,True
74,25,True,2.47,False,True
75,25,True,2.52,True,True
76,25,True,2.47,False,True
77,25,True,2.52,True,True
78,25,True,2.52,False,True
79,25,True,2.42,False,True
80,25,True,2.52,False,True
81,25,True,2.47,True,True
82,25,True,2.52,False,True
83,25,True,2.47,True,True
84,25,True,4.30,False,True
85,25,True,2.52,True,True
86,25,True,2.52,True,True
87,25,True,2.42,False,True
88,25,True,2.47,False,True
89,25,True,2.52,True,True
90,25,True,2.47,False,True
