Run Number,Problem Rate,Replan,Runtime (s),Had Failure,Successful Termination
31,10,False,2.52,False,True
32,10,False,2.42,False,True
33,10,False,2.47,False,True
34,10,False,4.31,False,True
35,10,False,2.47,False,True
36,10,False,2.47,True,False
37,10,False,2.52,True,False
38,10,False,2.47,False,True
39,10,False,2.42,False,True
40,10,False,2.47,False,True
41,10,False,2.47,False,True
42,10,False,2.47,True,False
43,10,False,2.47,False,True
44,10,False,2.47,False,True
45,10,False,2.47,False,True
46,10,False,2.47,False,True
47,10,False,2.47,False,True
48,10,False,2.47,False,True
49,10,False,2.47,False,True
50,10,False,2.47,False,True
51,10,False,2.52,False,True
52,10,False,2.47,False,True
53,10,False,2.47,False,True
54,10,False,2.42,False,True
55,10,False,2.42,False,True
56,10,False,4.36,False,True
57,10,False,2.47,False,True
58,10,False,2.47,False,True
59,10,False,2.47,False,True
60,10,False,2.47,True,False
